dataset	signature	seed	product_rf_f1-micro	sklearn_rf_f1-micro	product_rf_f1-macro	sklearn_rf_f1-macro	product_rf_accuracy	sklearn_rf_accuracy	product_rf_time	sklearn_rf_time
gaussian	S64	65	0.49	0.5	0.3318469648620227	0.395849422953111	0.49	0.5	3.2226874828338623	0.04275393486022949
gaussian	S64	66	0.43	0.5	0.33987769406010887	0.4330616855992796	0.43	0.5	3.497133731842041	0.03476142883300781
gaussian	S64	67	0.425	0.445	0.4012881859426821	0.4176167147322243	0.425	0.445	3.8110904693603516	0.041692256927490234
gaussian	S64	68	0.44	0.465	0.44157037705424806	0.43111443196403343	0.44	0.465	3.591127634048462	0.04318666458129883
gaussian	S64	69	0.495	0.51	0.3748403099499591	0.40149175149175154	0.495	0.51	3.5217995643615723	0.043047189712524414
gaussian	S64	70	0.45	0.445	0.39266262692864146	0.35176632198604385	0.45	0.445	3.438187599182129	0.04273867607116699
gaussian	HH64	71	0.51	0.555	0.39377044999481425	0.4420316447258671	0.51	0.555	3.772615671157837	0.04282665252685547
gaussian	HH64	72	0.53	0.595	0.4965550502085011	0.5796630208555211	0.53	0.595	3.9975125789642334	0.03361845016479492
gaussian	HH64	73	0.47	0.58	0.4223404020288823	0.506071354793412	0.47	0.58	3.83241868019104	0.04281473159790039
gaussian	HH64	74	0.5	0.525	0.43125487249090233	0.4519271971809328	0.5	0.525	3.769261121749878	0.033065080642700195
gaussian	HH64	75	0.53	0.57	0.4469526212503504	0.47534147826486534	0.53	0.57	3.8642055988311768	0.04219627380371094
gaussian	HH64	76	0.5	0.59	0.46587678816870337	0.5271892558939963	0.5	0.59	3.7792534828186035	0.03289794921875
gaussian	HH64	77	0.465	0.595	0.4426684806387163	0.5049007272183657	0.465	0.595	3.821742534637451	0.042479515075683594
gaussian	HH64	78	0.615	0.65	0.5509982227733369	0.5857474183637686	0.615	0.65	3.7559263706207275	0.04182696342468262
gaussian	HH64	79	0.525	0.65	0.5019174643137558	0.5757277607399235	0.525	0.65	3.708761215209961	0.03514504432678223
gaussian	HH64	80	0.555	0.6	0.5373561501415578	0.5830671304231357	0.555	0.6	3.9657249450683594	0.032228946685791016
gaussian	SS64	81	0.505	0.635	0.49493365790046384	0.6279490934402194	0.505	0.635	3.6717658042907715	0.03291749954223633
gaussian	SS64	82	0.485	0.535	0.3776871534175972	0.43607932613586237	0.485	0.535	3.3395349979400635	0.04308295249938965
gaussian	SS64	83	0.505	0.63	0.4378427686864219	0.5294840537118091	0.505	0.63	3.511115312576294	0.03282976150512695
gaussian	SS64	84	0.485	0.57	0.4513828120206354	0.546302716003803	0.485	0.57	3.4819939136505127	0.04297327995300293
gaussian	SS64	85	0.54	0.63	0.5228218414059835	0.6174807307472402	0.54	0.63	3.4152092933654785	0.034073829650878906
gaussian	SS64	86	0.575	0.61	0.5353257925521069	0.5865761907806601	0.575	0.61	3.538036346435547	0.04297518730163574
gaussian	SS64	87	0.595	0.64	0.5086937760068582	0.5697114748378317	0.595	0.64	3.53291654586792	0.04323887825012207
gaussian	SS64	88	0.515	0.55	0.496216700287047	0.5430477189170615	0.515	0.55	3.330207109451294	0.04209303855895996
