dataset	signature	seed	product_rf_f1-micro	single_manifold_rf_f1-micro	sklearn_rf_f1-micro	tangent_rf_f1-micro	product_rf_f1-macro	single_manifold_rf_f1-macro	sklearn_rf_f1-macro	tangent_rf_f1-macro	product_rf_accuracy	single_manifold_rf_accuracy	sklearn_rf_accuracy	tangent_rf_accuracy	product_rf_time	single_manifold_rf_time	sklearn_rf_time	tangent_rf_time
gaussian	H4	463	0.66	0.65	0.605	0.665	0.5042403930336077	0.5282179863976142	0.46489794424577036	0.5091305574014957	0.66	0.65	0.605	0.665	0.1182098388671875	3.281968593597412	0.03376412391662598	0.034319400787353516
gaussian	H4	464	0.605	0.645	0.49	0.575	0.42321586991971355	0.6476195584496499	0.32904142228739003	0.3860489403305617	0.605	0.645	0.49	0.575	0.24549627304077148	3.755131244659424	0.032334089279174805	0.03525710105895996
gaussian	H4	465	0.645	0.745	0.655	0.68	0.4973253564745269	0.6388743808304033	0.477165872102581	0.5259937224611138	0.645	0.745	0.655	0.68	0.11677956581115723	3.2589714527130127	0.0329899787902832	0.03560829162597656
gaussian	H4	466	0.7	0.72	0.6	0.67	0.6241979511716353	0.7168961539440689	0.5044756726130639	0.5795609466015677	0.7	0.72	0.6	0.67	0.11307668685913086	2.688199996948242	0.03281354904174805	0.0349278450012207
gaussian	H4	467	0.66	0.615	0.605	0.635	0.40124084491638384	0.36861754335693964	0.30766567240103593	0.3072223146717945	0.66	0.615	0.605	0.635	0.11431097984313965	3.3958301544189453	0.03298687934875488	0.03547310829162598
gaussian	H4	468	0.725	0.79	0.635	0.7	0.6353557342960336	0.7523218818946864	0.48122734073438295	0.5779023731503419	0.725	0.79	0.635	0.7	0.11460709571838379	2.440413475036621	0.03338956832885742	0.03347349166870117
gaussian	H4	469	0.65	0.64	0.59	0.62	0.4567544488549262	0.52408521100748	0.4028100558227436	0.4389424090628372	0.65	0.64	0.59	0.62	0.11265301704406738	3.7404837608337402	0.032706499099731445	0.03368115425109863
gaussian	H4	470	0.66	0.71	0.64	0.68	0.5658113085744665	0.6623761323355473	0.5588698439241918	0.5906966163764453	0.66	0.71	0.64	0.68	0.11861991882324219	3.0121705532073975	0.03399395942687988	0.03643298149108887
gaussian	H4	471	0.725	0.72	0.675	0.715	0.2713606654783125	0.5534356368327464	0.1988039924281535	0.26817174317174314	0.725	0.72	0.675	0.715	0.1133413314819336	2.813277244567871	0.034154653549194336	0.03422856330871582
gaussian	H4	472	0.595	0.6	0.57	0.585	0.3815324077526703	0.5233966927046447	0.34364203917775343	0.33638110382296427	0.595	0.6	0.57	0.585	0.1146700382232666	3.735081434249878	0.03355669975280762	0.0336613655090332
gaussian	H4	473	0.575	0.615	0.555	0.59	0.3937238298530831	0.5060002998034574	0.33976609415768544	0.38671585087026267	0.575	0.615	0.555	0.59	0.11373353004455566	4.066594839096069	0.03205561637878418	0.03491640090942383
gaussian	H4	474	0.61	0.645	0.545	0.6	0.5468057621772793	0.6282285113845126	0.4329460011053315	0.5484007655448789	0.61	0.645	0.545	0.6	0.1154172420501709	3.610733985900879	0.03216552734375	0.034270524978637695
gaussian	H4	475	0.805	0.795	0.68	0.735	0.5806527614780043	0.6445051144319294	0.46892012573547337	0.512751340494968	0.805	0.795	0.68	0.735	0.11484694480895996	2.3053548336029053	0.032964229583740234	0.03402972221374512
gaussian	H4	476	0.66	0.635	0.6	0.66	0.5979737995994153	0.5537902298622204	0.5358072374394014	0.5987259960023861	0.66	0.635	0.6	0.66	0.11855196952819824	3.268624782562256	0.03445172309875488	0.03503704071044922
gaussian	H4	477	0.585	0.63	0.535	0.6	0.4515339268205604	0.6134773828250089	0.47889348094006456	0.5326489680457412	0.585	0.63	0.535	0.6	0.11733150482177734	3.5779268741607666	0.033501386642456055	0.034986019134521484
gaussian	H4	478	0.7	0.71	0.595	0.645	0.6809500492558113	0.7091754260232522	0.5107445424656306	0.5321214906309456	0.7	0.71	0.595	0.645	0.11499834060668945	2.7771289348602295	0.03381967544555664	0.0339510440826416
gaussian	H4	479	0.55	0.53	0.505	0.56	0.37690820528652075	0.4948870177441606	0.3208998901027237	0.42051727044812226	0.55	0.53	0.505	0.56	0.11749505996704102	4.4689342975616455	0.03305697441101074	0.0343022346496582
gaussian	H4	480	0.525	0.57	0.485	0.51	0.3864718234599142	0.5338731127789531	0.34848670594638337	0.3747649629008948	0.525	0.57	0.485	0.51	0.11302804946899414	4.6616058349609375	0.03262138366699219	0.03423476219177246
gaussian	S4	481	0.425	0.505	0.41	0.31	0.37139114327204525	0.44206289366877005	0.366887050094001	0.26585813454254825	0.425	0.505	0.41	0.31	0.10061383247375488	4.786590814590454	0.03317666053771973	0.03449249267578125
gaussian	S4	482	0.46	0.49	0.485	0.375	0.3913631692806697	0.4178283720692777	0.373037427422943	0.2668922922213899	0.46	0.49	0.485	0.375	0.10149598121643066	4.770459413528442	0.03224635124206543	0.035291194915771484
gaussian	S4	483	0.445	0.415	0.42	0.32	0.33151059938443117	0.38191940928047435	0.29004985754985757	0.2007435700715815	0.445	0.415	0.42	0.32	0.10069990158081055	4.456745862960815	0.03202342987060547	0.03491353988647461
gaussian	S4	484	0.36	0.495	0.39	0.34	0.24904247175588637	0.3979820331071721	0.22013901498369443	0.16483875601522663	0.36	0.495	0.39	0.34	0.10155653953552246	4.6308934688568115	0.031766414642333984	0.0339818000793457
gaussian	S4	485	0.61	0.645	0.56	0.37	0.38169545669334465	0.4201479389155446	0.3491311667618676	0.21196192696192698	0.61	0.645	0.56	0.37	0.10176444053649902	3.3451619148254395	0.03282737731933594	0.03449654579162598
