dataset	signature	seed	product_rf_f1-micro	single_manifold_rf_f1-micro	sklearn_rf_f1-micro	tangent_rf_f1-micro	product_rf_f1-macro	single_manifold_rf_f1-macro	sklearn_rf_f1-macro	tangent_rf_f1-macro	product_rf_accuracy	single_manifold_rf_accuracy	sklearn_rf_accuracy	tangent_rf_accuracy	product_rf_time	single_manifold_rf_time	sklearn_rf_time	tangent_rf_time
gaussian	S4	483	0.615	0.66	0.59	0.555	0.5049356417095139	0.6239410261821623	0.4761087544851912	0.4329085180983149	0.615	0.66	0.59	0.555	0.10331940650939941	2.494537591934204	0.031989097595214844	0.03311276435852051
gaussian	S4	484	0.67	0.7	0.59	0.575	0.4299503385786204	0.5260368089318324	0.37239585706013206	0.3690344565068749	0.67	0.7	0.59	0.575	0.10323953628540039	2.1713435649871826	0.03172707557678223	0.03490805625915527
gaussian	S4	485	0.655	0.655	0.62	0.665	0.4210491694537698	0.5002921644029892	0.40697921281937677	0.4345086629874887	0.655	0.655	0.62	0.665	0.10313248634338379	1.9961507320404053	0.032628774642944336	0.03172612190246582
gaussian	S4	486	0.675	0.615	0.6	0.59	0.5612646879624807	0.5286388612121922	0.47193733912483915	0.468253160313333	0.675	0.615	0.6	0.59	0.10276436805725098	1.9565510749816895	0.03248929977416992	0.03432297706604004
gaussian	S4	487	0.7	0.63	0.67	0.67	0.6175729930446912	0.5557268409173911	0.5894610684620696	0.5915442055685958	0.7	0.63	0.67	0.67	0.10005068778991699	2.603121042251587	0.03453564643859863	0.03443336486816406
gaussian	S4	488	0.705	0.66	0.67	0.645	0.5636432468137818	0.5407496782496782	0.5100713489623072	0.4855595334760464	0.705	0.66	0.67	0.645	0.10251379013061523	2.4830198287963867	0.03299856185913086	0.03291440010070801
gaussian	S4	489	0.63	0.625	0.6	0.58	0.5019306986173628	0.5340929327930284	0.5240540261102122	0.48377683579738373	0.63	0.625	0.6	0.58	0.10241198539733887	2.3049545288085938	0.032022953033447266	0.03541445732116699
gaussian	S4	490	0.68	0.65	0.585	0.605	0.43073678693639206	0.491683999724963	0.317610884877834	0.3322719740742819	0.68	0.65	0.585	0.605	0.1000211238861084	2.487607479095459	0.03221487998962402	0.036354780197143555
gaussian	S4	491	0.62	0.655	0.62	0.64	0.4605311355311355	0.550756879104995	0.4727489238000549	0.48585742214774474	0.62	0.655	0.62	0.64	0.10157251358032227	2.6169116497039795	0.0322422981262207	0.03238081932067871
gaussian	S4	492	0.61	0.71	0.595	0.58	0.43123413908705455	0.657562550026635	0.43213635849533616	0.4032262891329715	0.61	0.71	0.595	0.58	0.10374331474304199	2.312912940979004	0.032613515853881836	0.03333234786987305
gaussian	S4	493	0.68	0.65	0.645	0.635	0.37275732740653394	0.49642346148209326	0.4212754264998847	0.37294739906832297	0.68	0.65	0.645	0.635	0.10450387001037598	2.363125801086426	0.03161931037902832	0.0327000617980957
gaussian	S4	494	0.66	0.675	0.59	0.62	0.423943216281926	0.5091266161940083	0.41823523868669754	0.4673933821840711	0.66	0.675	0.59	0.62	0.10538172721862793	2.509176015853882	0.032599687576293945	0.031461477279663086
gaussian	S4	495	0.55	0.615	0.52	0.59	0.39643239992679163	0.5836533953679841	0.41671911151005614	0.5551216530383197	0.55	0.615	0.52	0.59	0.0979757308959961	2.7227892875671387	0.03222203254699707	0.032518863677978516
gaussian	S4	496	0.57	0.61	0.595	0.53	0.540487135882334	0.6086440634972632	0.60057437751452	0.4972813272042372	0.57	0.61	0.595	0.53	0.10262489318847656	2.6304802894592285	0.03355073928833008	0.034767866134643555
gaussian	S4	497	0.635	0.67	0.595	0.605	0.5618609421088001	0.6005353724714986	0.43377281636818327	0.5196085885572366	0.635	0.67	0.595	0.605	0.10313916206359863	2.367863893508911	0.033704519271850586	0.03237605094909668
gaussian	S4	498	0.615	0.645	0.595	0.635	0.5205939711650798	0.5381422061501214	0.46712626860458994	0.5492732151109025	0.615	0.645	0.595	0.635	0.10595202445983887	2.5971367359161377	0.03145480155944824	0.03425121307373047
gaussian	S4	499	0.58	0.625	0.585	0.595	0.4857048732389023	0.5882523409715086	0.5490691073681179	0.5594935895438122	0.58	0.625	0.585	0.595	0.10307097434997559	2.6291399002075195	0.03205394744873047	0.035672903060913086
gaussian	S4	500	0.665	0.695	0.67	0.645	0.4451092538348953	0.6002984832965607	0.5319296255256502	0.4333296103251427	0.665	0.695	0.67	0.645	0.10844898223876953	2.072439670562744	0.033145904541015625	0.0352473258972168
gaussian	S4	501	0.645	0.71	0.655	0.65	0.28659472509934203	0.5486285181706935	0.3675002396340745	0.3799915822233553	0.645	0.71	0.655	0.65	0.10287690162658691	2.1250078678131104	0.03400373458862305	0.032946109771728516
gaussian	S4	502	0.675	0.655	0.605	0.58	0.5068491739013392	0.548287386282558	0.4299047754930108	0.4490127174172989	0.675	0.655	0.605	0.58	0.10371756553649902	2.1444413661956787	0.03293251991271973	0.03442096710205078
gaussian	S4	503	0.62	0.66	0.625	0.585	0.5273968705547654	0.5864899033842043	0.5368177386682789	0.49825072275692406	0.62	0.66	0.625	0.585	0.10331034660339355	2.6776435375213623	0.032343149185180664	0.034227609634399414
gaussian	S4	504	0.69	0.685	0.605	0.62	0.48984001435457747	0.5473015073074632	0.4288211017453305	0.4060134518923849	0.69	0.685	0.605	0.62	0.1063089370727539	2.291832447052002	0.03402900695800781	0.03454732894897461
gaussian	S4	505	0.69	0.675	0.62	0.58	0.5510643787788105	0.6142078821403774	0.47267099068916635	0.4463312595360839	0.69	0.675	0.62	0.58	0.0989828109741211	2.148965835571289	0.03229260444641113	0.03372049331665039
gaussian	S4	506	0.7	0.635	0.63	0.56	0.5387862238356793	0.5788411301342337	0.4774448081010167	0.42960590917677105	0.7	0.635	0.63	0.56	0.1028890609741211	2.6856915950775146	0.03200411796569824	0.16336965560913086
