dataset	signature	seed	product_rf_f1-micro	sklearn_rf_f1-micro	product_rf_f1-macro	sklearn_rf_f1-macro	product_rf_accuracy	sklearn_rf_accuracy	product_rf_time	sklearn_rf_time
gaussian	HS128	56	0.51	0.485	0.4640367657899215	0.40337185598877234	0.51	0.485	0.43263721466064453	0.03192019462585449
gaussian	HS128	57	0.58	0.595	0.4936866883534107	0.4996527165644813	0.58	0.595	0.4403994083404541	0.0326838493347168
gaussian	HS128	58	0.52	0.59	0.253359698984699	0.40598195141034016	0.52	0.59	0.42890381813049316	0.033100128173828125
gaussian	HS128	59	0.56	0.625	0.5472238817536349	0.5603756262813345	0.56	0.625	0.4243309497833252	0.03344297409057617
gaussian	HS128	60	0.52	0.6	0.4085066829190028	0.49612352586739994	0.52	0.6	0.4209914207458496	0.032143592834472656
gaussian	H16	61	0.555	0.59	0.46434098352406394	0.49552671954463445	0.555	0.59	0.4431619644165039	0.03305411338806152
gaussian	H16	62	0.54	0.57	0.31374760391304507	0.29852498186002535	0.54	0.57	0.4472222328186035	0.031883955001831055
gaussian	H16	63	0.5	0.585	0.2648384568908535	0.45656426906426906	0.5	0.585	0.4216442108154297	0.03199625015258789
gaussian	H16	64	0.52	0.605	0.27327734678636206	0.38087356365809055	0.52	0.605	0.4408409595489502	0.03223466873168945
gaussian	H16	65	0.56	0.61	0.3216716193411109	0.3859234755123842	0.56	0.61	0.4158756732940674	0.03352475166320801
gaussian	H16	66	0.505	0.545	0.37468731600323835	0.3862282878411911	0.505	0.545	0.42558884620666504	0.03250312805175781
gaussian	H16	67	0.53	0.645	0.45803407336117596	0.5923957173018631	0.53	0.645	0.4434351921081543	0.03157854080200195
gaussian	H16	68	0.58	0.585	0.5009751606762465	0.5397111591018768	0.58	0.585	0.4380686283111572	0.03152060508728027
gaussian	H16	69	0.595	0.61	0.46252631016781964	0.43461724224467857	0.595	0.61	0.45692944526672363	0.032761335372924805
gaussian	H16	70	0.595	0.615	0.41214266564795654	0.43773310023310025	0.595	0.615	0.43236756324768066	0.03287100791931152
gaussian	E16	71	0.27	0.32	0.10396537842190016	0.180993975426259	0.27	0.32	0.4015474319458008	0.03216361999511719
gaussian	E16	72	0.305	0.34	0.19507179243170625	0.23204619913596458	0.305	0.34	0.3954448699951172	0.03307771682739258
gaussian	E16	73	0.29	0.355	0.19460657748700275	0.22488213747682484	0.29	0.355	0.39173340797424316	0.03337407112121582
gaussian	E16	74	0.28	0.335	0.10728617184691308	0.13391220183163705	0.28	0.335	0.38495612144470215	0.03193187713623047
gaussian	E16	75	0.37	0.325	0.23896711396711398	0.2402195690383552	0.37	0.325	0.4142599105834961	0.033179521560668945
gaussian	E16	76	0.365	0.365	0.15651446770373215	0.20042863870393135	0.365	0.365	0.410020112991333	0.03262615203857422
gaussian	E16	77	0.33	0.3	0.27751084876084875	0.2368394896620703	0.33	0.3	0.40708303451538086	0.031797170639038086
gaussian	E16	78	0.275	0.265	0.14923953458602746	0.14248939969917576	0.275	0.265	0.3727538585662842	0.032625436782836914
gaussian	E16	79	0.235	0.3	0.14071542207986526	0.23760967917639583	0.235	0.3	0.41712069511413574	0.03399467468261719
gaussian	E16	80	0.29	0.305	0.2662359345369403	0.2843567224002007	0.29	0.305	0.4039607048034668	0.03195524215698242
gaussian	S16	81	0.24	0.245	0.14349838380010793	0.18033870191848383	0.24	0.245	0.3670687675476074	0.03165555000305176
gaussian	S16	82	0.285	0.285	0.13553887738670345	0.1424450706526178	0.285	0.285	0.3510475158691406	0.03580164909362793
gaussian	S16	83	0.295	0.25	0.22621842957650756	0.15792779095150034	0.295	0.25	0.3222675323486328	0.03280448913574219
gaussian	S16	84	0.26	0.29	0.14639152339430797	0.18016799854112528	0.26	0.29	0.3502974510192871	0.03223705291748047
gaussian	S16	85	0.24	0.355	0.12512501315927993	0.2164715273604878	0.24	0.355	0.3823215961456299	0.0327458381652832
gaussian	S16	86	0.265	0.25	0.17536704557788896	0.196812619784756	0.265	0.25	0.339005708694458	0.0326540470123291
gaussian	S16	87	0.205	0.26	0.11365451616120065	0.1647782651072125	0.205	0.26	0.3681831359863281	0.03235340118408203
gaussian	S16	88	0.295	0.295	0.15764085636797306	0.16329566779668908	0.295	0.295	0.34944820404052734	0.03233671188354492
gaussian	S16	89	0.235	0.26	0.14138038610143042	0.17182738190268393	0.235	0.26	0.3532295227050781	0.03294038772583008
gaussian	S16	90	0.295	0.28	0.14513210927004028	0.13773269093405188	0.295	0.28	0.3664860725402832	0.03279614448547363
gaussian	HH16	91	0.225	0.235	0.1478879158364288	0.15327344904550788	0.225	0.235	0.37438511848449707	0.0326845645904541
gaussian	HH16	92	0.19	0.265	0.09564087787154474	0.12569182389937106	0.19	0.265	0.3779268264770508	0.03249478340148926
gaussian	HH16	93	0.25	0.28	0.13760560080608028	0.15305041242541242	0.25	0.28	0.39072418212890625	0.032341957092285156
gaussian	HH16	94	0.26	0.26	0.09509591961440342	0.11798586618108292	0.26	0.26	0.37575554847717285	0.03233170509338379
gaussian	HH16	95	0.245	0.285	0.08158165364047718	0.13309791156777573	0.245	0.285	0.3825719356536865	0.03206920623779297
gaussian	HH16	96	0.22	0.245	0.12427310401782848	0.14198012463480275	0.22	0.245	0.3636801242828369	0.03339648246765137
gaussian	HH16	97	0.235	0.245	0.10517399267399266	0.14454810847999702	0.235	0.245	0.38286328315734863	0.16084718704223633
gaussian	HH16	98	0.3	0.32	0.08194444444444444	0.11380399082199191	0.3	0.32	0.3783528804779053	0.03324532508850098
gaussian	HH16	99	0.245	0.25	0.1178016062884484	0.12683802043154033	0.245	0.25	0.3731849193572998	0.032327890396118164
gaussian	HH16	100	0.22	0.255	0.10220508658008658	0.12465960278460278	0.22	0.255	0.3651888370513916	0.03280949592590332
gaussian	SS16	101	0.3	0.325	0.21040518487173854	0.2288601198681844	0.3	0.325	0.39783525466918945	0.032636165618896484
gaussian	SS16	102	0.31	0.405	0.2335476714798995	0.3533446090719172	0.31	0.405	0.4136049747467041	0.034920692443847656
gaussian	SS16	103	0.305	0.32	0.24802736479207066	0.28876821173164946	0.305	0.32	0.4454507827758789	0.03270077705383301
gaussian	SS16	104	0.255	0.27	0.23286318531195577	0.21504059867449196	0.255	0.27	0.4196343421936035	0.033632516860961914
gaussian	SS16	105	0.365	0.385	0.11337341044372296	0.1370882740447958	0.365	0.385	0.3416450023651123	0.033347368240356445
gaussian	SS16	106	0.285	0.32	0.19496679954032894	0.2515779747345931	0.285	0.32	0.4026522636413574	0.032575130462646484
gaussian	SS16	107	0.31	0.275	0.2835608899081233	0.21890444287469457	0.31	0.275	0.37876415252685547	0.03324484825134277
gaussian	SS16	108	0.34	0.3	0.23839673960260988	0.17439042781784717	0.34	0.3	0.42130279541015625	0.03463625907897949
gaussian	SS16	109	0.265	0.31	0.1962178485149978	0.22904630031748677	0.265	0.31	0.37051963806152344	0.0319368839263916
gaussian	SS16	110	0.28	0.35	0.23479167348573068	0.24795201734539968	0.28	0.35	0.4036397933959961	0.033416748046875
gaussian	HS16	111	0.25	0.25	0.1465319687006434	0.15815940428514888	0.25	0.25	0.3732306957244873	0.03550982475280762
gaussian	HS16	112	0.26	0.305	0.1436469918443353	0.16280422677893355	0.26	0.305	0.35219550132751465	0.03253531455993652
gaussian	HS16	113	0.33	0.345	0.20931974956507665	0.2126664385474593	0.33	0.345	0.36967945098876953	0.032129526138305664
gaussian	HS16	114	0.265	0.305	0.1024694710509858	0.1372746788730395	0.265	0.305	0.35480356216430664	0.03253602981567383
gaussian	HS16	115	0.27	0.255	0.1696784902935553	0.19876847961724783	0.27	0.255	0.3175170421600342	0.03217196464538574
gaussian	HS16	116	0.2	0.285	0.11555725748058555	0.22314940887405377	0.2	0.285	0.3384213447570801	0.0323338508605957
gaussian	HS16	117	0.3	0.335	0.145149108362639	0.201880579559151	0.3	0.335	0.36502718925476074	0.032598018646240234
gaussian	HS16	118	0.355	0.385	0.1228030057641767	0.17119790600285756	0.355	0.385	0.367459774017334	0.03220558166503906
gaussian	HS16	119	0.26	0.27	0.11892891981207199	0.11343598569956279	0.26	0.27	0.32741832733154297	0.03336453437805176
gaussian	HS16	120	0.32	0.32	0.09244305526500375	0.10528846153846154	0.32	0.32	0.33455419540405273	0.03339862823486328
gaussian	H4	121	0.25	0.265	0.1590633903133903	0.2023304793008841	0.25	0.265	0.3915424346923828	0.03235769271850586
gaussian	H4	122	0.355	0.38	0.12433219962770789	0.141523509170568	0.355	0.38	0.381542444229126	0.03303098678588867
gaussian	H4	123	0.265	0.36	0.19889528949877822	0.290024915256116	0.265	0.36	0.4127826690673828	0.03313279151916504
