curvature	seed	product_dt_rmse	product_dt_time	product_rf_rmse	product_rf_time	tangent_mlp_rmse	tangent_mlp_time	ambient_mlp_rmse	ambient_mlp_time	tangent_gnn_rmse	tangent_gnn_time	ambient_gnn_rmse	ambient_gnn_time
-0.25	44	0.18487093	0.009972572326660156	0.18307391	0.11048555374145508	0.3543963	0.7704634666442871	0.19086829	0.8059337139129639	0.2879086	5.206674575805664	0.35048547	5.195459604263306
-0.25	45	0.17441806	0.010231256484985352	0.16798353	0.12055706977844238	0.32382345	0.7926356792449951	0.17596869	0.7973878383636475	0.8522914	5.195935964584351	3.9332511	5.192692756652832
-0.25	46	0.17960165	0.010350227355957031	0.16293891	0.11525416374206543	0.3614156	0.7795772552490234	0.1704428	0.8268141746520996	0.2626912	5.185805082321167	0.5830786	5.185354709625244
-0.25	47	0.19697931	0.010333538055419922	0.19568968	0.11818790435791016	0.28462446	0.7768609523773193	0.20265132	0.8198873996734619	0.23827982	5.191528797149658	0.7151677	5.194176197052002
-0.25	48	0.22568898	0.009943485260009766	0.21740954	0.11539602279663086	0.34691843	0.7695088386535645	0.22115026	0.799910306930542	0.23707913	5.193333625793457	0.37441733	5.195863246917725
-0.25	49	0.189569	0.01056981086730957	0.18945336	0.11668825149536133	0.31647766	0.7844593524932861	0.1849546	0.8152544498443604	1.4129134	5.2016801834106445	2.3329673	5.201749801635742
0.0	50	0.18996103	0.009472131729125977	0.19071756	0.10866332054138184	0.3069789	0.7591710090637207	0.19282909	0.7864995002746582	0.22710863	5.189548492431641	0.22710863	5.195762872695923
0.0	51	0.20194884	0.009113550186157227	0.20359205	0.10519099235534668	0.34945896	0.7814548015594482	0.21043012	0.8031764030456543	0.37060854	5.1782286167144775	0.37060848	5.1869518756866455
0.0	52	0.18872331	0.007990121841430664	0.18126601	0.10458183288574219	0.29428697	0.7646768093109131	0.18181415	0.785010814666748	0.19949831	5.1892924308776855	0.19949833	5.1884925365448
0.0	53	0.202158	0.00936269760131836	0.1959434	0.10535669326782227	0.34715578	0.752084493637085	0.19941454	0.7922101020812988	0.40225968	5.208046913146973	0.40225983	5.217404365539551
0.0	54	0.19569482	0.009855031967163086	0.19310153	0.11009430885314941	0.36753574	0.7620537281036377	0.19904569	0.7871353626251221	0.2057405	5.20299506187439	0.20574048	5.195037126541138
0.0	55	0.20658185	0.00935673713684082	0.20115294	0.10419845581054688	0.3800528	0.7457232475280762	0.20875573	0.7756979465484619	0.31080455	5.1887640953063965	0.31080452	5.1903016567230225
0.0	56	0.20567027	0.009338855743408203	0.19752866	0.10758352279663086	0.3843108	0.7930214405059814	0.22041215	0.8252584934234619	0.22094508	5.181526184082031	0.22094508	5.19338846206665
0.0	57	0.23195976	0.009630203247070312	0.22735588	0.10936689376831055	0.37293768	0.7734401226043701	0.23235042	0.8174066543579102	0.3327657	5.1955554485321045	0.33276573	5.201237440109253
0.0	58	0.18268974	0.009330272674560547	0.17885637	0.10317444801330566	0.26706922	0.7749857902526855	0.1840412	0.7994751930236816	0.20057824	5.193246126174927	0.20057823	5.197613954544067
0.0	59	0.17125581	0.00954437255859375	0.16846143	0.1087045669555664	0.2658162	0.7598681449890137	0.17804463	0.7916405200958252	0.20263419	5.194414138793945	0.2026342	5.202381372451782
0.25	60	0.21931098	0.009470224380493164	0.21763426	0.10846257209777832	0.32214487	0.7808244228363037	0.22074722	0.8142759799957275	0.2427521	5.206480979919434	0.2898518	5.21110200881958
0.25	61	0.23024319	0.00944375991821289	0.22217304	0.11008644104003906	0.339681	0.7727334499359131	0.22645968	0.8081059455871582	0.32333878	5.212366342544556	0.2639714	5.207091569900513
0.25	62	0.20703349	0.009363174438476562	0.20985438	0.10827350616455078	0.37558016	0.7708239555358887	0.21874337	0.8197095394134521	0.20366484	5.178565979003906	0.21543719	5.180999040603638
0.25	63	0.19089998	0.008870601654052734	0.18090264	0.10151290893554688	0.2546336	0.7557799816131592	0.18328665	0.7715160846710205	0.18802424	5.178016662597656	0.28112176	5.174602508544922
0.25	64	0.20217754	0.008895397186279297	0.19657932	0.10166096687316895	0.30640563	0.752906322479248	0.20749936	0.7924900054931641	0.22844642	5.18813419342041	0.20805623	5.1936047077178955
0.25	65	0.23869726	0.009409904479980469	0.23531413	0.10746932029724121	0.352146	0.7632386684417725	0.23766355	0.7976694107055664	0.24519075	5.19298243522644	0.25369084	5.1881818771362305
0.25	66	0.23012753	0.008823156356811523	0.21868117	0.10265493392944336	0.3434701	0.7637526988983154	0.22500555	0.8036172389984131	0.22369935	5.184576511383057	0.27320462	5.185498237609863
0.25	67	0.1834645	0.00950479507446289	0.1787683	0.10879993438720703	0.30128133	0.7963886260986328	0.18290947	0.8125066757202148	0.20104393	5.181209564208984	0.24515069	5.181696176528931
0.25	68	0.18023661	0.008888483047485352	0.17640764	0.10300517082214355	0.3425726	0.7739467620849609	0.17957033	0.7949614524841309	0.24093318	5.196654319763184	0.42274722	5.192481756210327
0.25	69	0.22153772	0.00898599624633789	0.21871752	0.1035158634185791	0.3175109	0.7499854564666748	0.22679591	0.7942113876342773	0.23351502	5.180189847946167	0.25579005	5.199206590652466
0.5	70	0.18579507	0.008907079696655273	0.18800806	0.10196232795715332	0.3024871	0.7735786437988281	0.19080143	0.8016078472137451	0.24989218	5.21095871925354	0.2167013	5.202287197113037
0.5	71	0.16618006	0.009169578552246094	0.16200577	0.10460090637207031	0.24659015	0.7572581768035889	0.1640401	0.7914712429046631	0.17451361	5.199157476425171	0.1853042	5.203494548797607
0.5	72	0.19054843	0.009069204330444336	0.1910217	0.10589241981506348	0.32918778	0.7853670120239258	0.19608352	0.820711612701416	0.24563403	5.198469400405884	0.22632399	5.198598861694336
0.5	73	0.21699852	0.009328126907348633	0.20950492	0.10716581344604492	0.29562822	0.7902684211730957	0.21260054	0.8131773471832275	0.21620364	5.1958019733428955	0.22116771	5.190917491912842
0.5	74	0.19821666	0.009026288986206055	0.19832797	0.10428524017333984	0.31555498	0.7701117992401123	0.19945653	0.8045995235443115	0.20933518	5.1865527629852295	0.22916023	5.192722320556641
0.5	75	0.2126012	0.009271860122680664	0.21266334	0.10711216926574707	0.3006132	0.7741842269897461	0.23096552	0.8109250068664551	0.2605599	5.183084726333618	0.25891736	5.184016704559326
0.5	76	0.2570806	0.009323596954345703	0.25632712	0.10880017280578613	0.34058794	0.7735540866851807	0.25766107	0.8106918334960938	0.26011252	5.194748163223267	0.27531704	5.193958520889282
0.5	77	0.17747751	0.009229660034179688	0.17502335	0.10737490653991699	0.27121508	0.789320707321167	0.17619838	0.8120172023773193	0.17850132	5.201751947402954	0.19730867	5.194200277328491
