signature	seed	sklearn_dt_rmse	sklearn_dt_time	sklearn_rf_rmse	sklearn_rf_time	product_dt_rmse	product_dt_time	product_rf_rmse	product_rf_time	tangent_dt_rmse	tangent_dt_time	tangent_rf_rmse	tangent_rf_time	knn_rmse	knn_time	tangent_mlp_rmse	tangent_mlp_time	ambient_mlp_rmse	ambient_mlp_time	tangent_gnn_rmse	tangent_gnn_time	ambient_gnn_rmse	ambient_gnn_time
HS	26	0.17879949143389406	0.0014519691467285156	0.17402923553698052	0.015938758850097656	0.18423396	0.010530710220336914	0.176569	0.1144871711730957	0.18046679935703624	0.0011258125305175781	0.17601259560816748	0.015822887420654297	0.17050107	0.003245830535888672	0.35062414	0.7880489826202393	0.19092385	0.7945833206176758	0.22147903	5.203955173492432	4.237085	5.2030487060546875
HS	27	0.20010785867029957	0.0014643669128417969	0.18721992932770457	0.01589226722717285	0.19411804	0.011113882064819336	0.18644209	0.1183173656463623	0.18834878270210015	0.0011250972747802734	0.19058222069360176	0.015741825103759766	0.19238754	0.0032122135162353516	0.34633407	0.7541544437408447	0.19493118	0.8104851245880127	0.20777248	5.205115556716919	2.1392071	5.195380926132202
HS	28	0.21399337151912753	0.0014667510986328125	0.2084415586688405	0.026374340057373047	0.20753804	0.010148286819458008	0.20447513	0.11011099815368652	0.20710607814450532	0.0011467933654785156	0.20601218637419588	0.016377687454223633	0.2164568	0.003202199935913086	0.35852805	0.7616097927093506	0.21537288	0.8363363742828369	0.32744154	5.210192680358887	2.021406	5.202228546142578
HS	29	0.2309505007545211	0.001474618911743164	0.2205023512431885	0.015863895416259766	0.22597975	0.01088571548461914	0.21748242	0.11348366737365723	0.2279263546270579	0.0011129379272460938	0.22126525336741631	0.015929222106933594	0.22584115	0.0030126571655273438	0.33627406	0.7990236282348633	0.22691461	0.836637020111084	0.250448	5.210317373275757	1.5372524	5.187194108963013
SS	30	0.19594100163176512	0.0014464855194091797	0.19223588948025788	0.01575446128845215	0.20380674	0.00967860221862793	0.19770855	0.10753583908081055	0.1979071640068994	0.0011241436004638672	0.19617579885407374	0.016022682189941406	0.19360872	0.0031037330627441406	0.29162705	0.7572529315948486	0.20458302	0.7961909770965576	0.21067941	5.203453302383423	0.40644974	5.207258224487305
SS	31	0.19443610000538508	0.00147247314453125	0.19090713281817928	0.01561284065246582	0.19861223	0.009975671768188477	0.18960753	0.1079874038696289	0.19487334866000225	0.0011229515075683594	0.19004510966283045	0.015661954879760742	0.20343718	0.0032095909118652344	0.34421173	0.7648329734802246	0.19411394	0.7990658283233643	0.20727763	5.206687688827515	0.6029047	5.206331968307495
SS	32	0.2036049955559834	0.0014801025390625	0.1981054680207478	0.015775203704833984	0.20725611	0.010350942611694336	0.19400533	0.1122586727142334	0.2111678092218015	0.0010647773742675781	0.20274692159760074	0.015404224395751953	0.19224608	0.0027458667755126953	0.28003612	0.7548916339874268	0.20158531	0.7954709529876709	0.2652908	5.20010781288147	0.3932856	5.196253776550293
SS	33	0.1943127322095981	0.0014734268188476562	0.18197308382364333	0.015905380249023438	0.17754073	0.010040998458862305	0.1766058	0.10774946212768555	0.18596087043116677	0.0010852813720703125	0.1795810074277376	0.015684843063354492	0.17925733	0.0029439926147460938	0.35549062	0.7663331031799316	0.18518725	0.7991492748260498	0.18516964	5.212085247039795	0.48101673	5.20436692237854
SS	34	0.18783926657782266	0.0014789104461669922	0.18325791850118206	0.016004085540771484	0.19398719	0.010286092758178711	0.18431492	0.11231422424316406	0.18836739589027732	0.0011432170867919922	0.18357456676238476	0.015835046768188477	0.19313726	0.0027761459350585938	0.25512838	0.7655885219573975	0.19286634	0.802309513092041	0.20497042	5.2117531299591064	0.30593377	5.199169158935547
SS	35	0.177028923201481	0.0014412403106689453	0.17629726689220407	0.015883207321166992	0.17266253	0.010065793991088867	0.17210425	0.10930180549621582	0.17453448037610494	0.0011336803436279297	0.17224783167425417	0.015970230102539062	0.17611092	0.003013134002685547	0.2695742	0.7672553062438965	0.18128929	0.7853951454162598	0.20062837	5.1908860206604	0.3276516	5.187927007675171
