curvature	seed	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_mlp_f1-micro	tangent_mlp_accuracy	tangent_mlp_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	tangent_gnn_f1-micro	tangent_gnn_accuracy	tangent_gnn_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time
-1.0	29	0.275	0.275	0.010195016860961914	0.265	0.265	0.11489486694335938	0.245	0.245	0.7237424850463867	0.285	0.285	0.7803375720977783	0.26	0.26	5.195605754852295	0.22	0.22	5.1966118812561035
-0.5	30	0.29	0.29	0.010012626647949219	0.315	0.315	0.11193203926086426	0.3	0.3	0.7557411193847656	0.295	0.295	0.8147048950195312	0.21	0.21	5.1954240798950195	0.185	0.185	5.200806617736816
-0.5	31	0.295	0.295	0.01020050048828125	0.3	0.3	0.11130237579345703	0.3	0.3	0.738184928894043	0.22	0.22	0.7665541172027588	0.225	0.225	5.169810056686401	0.2	0.2	5.183318138122559
-0.5	32	0.225	0.225	0.009946107864379883	0.31	0.31	0.10768651962280273	0.25	0.25	0.7261035442352295	0.265	0.265	0.7554981708526611	0.23	0.23	5.170732498168945	0.235	0.235	5.189306735992432
-0.5	33	0.285	0.285	0.009952783584594727	0.305	0.305	0.10946440696716309	0.21	0.21	0.7447428703308105	0.23	0.23	0.7775795459747314	0.205	0.205	5.196152925491333	0.185	0.185	5.202329158782959
-0.5	34	0.305	0.305	0.009614229202270508	0.335	0.335	0.10926604270935059	0.355	0.355	0.7787094116210938	0.275	0.275	0.8040645122528076	0.33	0.33	5.202616930007935	0.235	0.235	5.211087703704834
-0.5	35	0.325	0.325	0.010043144226074219	0.34	0.34	0.11112070083618164	0.35	0.35	0.7617998123168945	0.365	0.365	0.7915403842926025	0.265	0.265	5.20904016494751	0.195	0.195	5.22075343132019
-0.5	36	0.29	0.29	0.010426759719848633	0.33	0.33	0.11176061630249023	0.305	0.305	0.742185115814209	0.345	0.345	0.7504398822784424	0.245	0.245	5.2113587856292725	0.22	0.22	5.216336250305176
-0.5	37	0.29	0.29	0.010270118713378906	0.245	0.245	0.11261582374572754	0.205	0.205	0.7394082546234131	0.23	0.23	0.7725944519042969	0.22	0.22	5.2121217250823975	0.2	0.2	5.219167232513428
-0.5	38	0.34	0.34	0.009933948516845703	0.37	0.37	0.11099576950073242	0.31	0.31	0.7323806285858154	0.38	0.38	0.7724518775939941	0.295	0.295	5.216697454452515	0.295	0.295	5.225265979766846
